time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol
2025-07-08,109248.31,107445.04,108277.16,12122.12,1316408874.89,108955.05,direct,,BTC
2025-07-09,112077.21,108341.92,108955.05,19761.34,2177951432.55,111291.7,direct,,BTC
2025-07-10,116848.31,110555.52,111291.7,31905.27,3616719327.76,116023.34,direct,,BTC
2025-07-11,118890.32,115236.69,116023.34,26050.27,3060911543.15,117573.92,direct,,BTC
2025-07-12,118239.99,116954.09,117573.92,7395.67,869899617.34,117468.16,direct,,BTC
2025-07-13,119503.56,117264.6,117468.16,9553.52,1133368267.75,119127.66,direct,,BTC
2025-07-14,123220.28,118951.55,119127.66,31361.7,3784774921.45,119869.01,direct,,BTC
2025-07-15,119958.94,115709.64,119869.01,50123.19,5881848280.87,117777.9,direct,,BTC
2025-07-16,120122.22,117043.92,117777.9,27837.68,3310853209.79,118700.37,direct,,BTC
2025-07-17,121020.95,117485.98,118700.37,25218.52,3000532789.4,119282.74,direct,,BTC
2025-07-18,120911.16,116902.92,119282.74,26111.51,3096339405.33,118025.92,direct,,BTC
2025-07-19,118572.53,117339.41,118025.92,6706.12,791893576.81,117913.27,direct,,BTC
2025-07-20,118903.91,116533.22,117913.27,9166.19,1081488186.29,117328.61,direct,,BTC
2025-07-21,119712.2,116581.7,117328.61,18543.72,2187836280.67,117441.75,direct,,BTC
2025-07-22,120298.65,116186.23,117441.75,21981.53,2607540535.18,120023.5,direct,,BTC
2025-07-23,120167.5,117361.89,120023.5,17163.7,2029832616.05,118808.78,direct,,BTC
2025-07-24,119555.88,117214.42,118808.78,17930.71,2128340080.84,118397.33,direct,,BTC
2025-07-25,118523.27,114756.37,118397.33,47767.94,5546818211.88,117644.11,direct,,BTC
2025-07-26,118355.11,117143.68,117644.11,10959.83,1291296798.52,117971.27,direct,,BTC
2025-07-27,119808.28,117872.15,117971.27,10341.68,1228024808.19,119468.71,direct,,BTC
2025-07-28,119835.44,117403.28,119468.71,18092.6,2142740462.44,118059.92,direct,,BTC
2025-07-29,119285.96,116933.73,118059.92,17580.06,2073820445.19,117942.11,direct,,BTC
2025-07-30,118800.1,115769.47,117942.11,18335.33,2153325010.48,117853.3,direct,,BTC
2025-07-31,118927.15,115493.77,117853.3,16934.89,1991848800.07,115765.36,direct,,BTC
2025-08-01,116060.68,112682.82,115765.36,33588.86,3851719228.71,113263.48,direct,,BTC
2025-08-02,114033.98,112006.36,113263.48,12452.57,1407609649.0,112546.32,direct,,BTC
2025-08-03,114803.51,111925.95,112546.32,8326.85,947196437.08,114238.83,direct,,BTC
2025-08-04,115744.56,114140.41,114238.83,14470.62,1662390456.96,115065.9,direct,,BTC
2025-08-05,115111.39,112629.49,115065.9,16922.91,1925704360.18,114127.63,direct,,BTC
2025-08-06,115748.22,113364.73,114127.63,14480.66,1659630182.7,115038.45,direct,,BTC
2025-08-07,115224.01,114445.1,115038.45,965.76,110920620.54,114536.1,direct,,BTC
2025-07-08,2628.25,2523.96,2542.5,302820.26,782816619.68,2616.29,direct,,ETH
2025-07-09,2796.41,2590.85,2616.29,520588.94,1401139415.9,2769.99,direct,,ETH
2025-07-10,3000.74,2756.79,2769.99,615589.48,1744393184.02,2951.31,direct,,ETH
2025-07-11,3039.9,2914.32,2951.31,663817.63,1980022543.13,2959.03,direct,,ETH
2025-07-12,2980.71,2905.43,2959.03,234302.3,689836595.19,2944.27,direct,,ETH
2025-07-13,3021.17,2937.49,2944.27,258053.21,768491471.97,2973.01,direct,,ETH
2025-07-14,3083.04,2964.19,2973.01,572787.88,1733654671.96,3014.66,direct,,ETH
2025-07-15,3144.48,2933.53,3014.66,615194.29,1864246145.13,3139.33,direct,,ETH
2025-07-16,3425.33,3101.74,3139.33,765848.69,2498357116.86,3373.1,direct,,ETH
2025-07-17,3526.44,3312.55,3373.1,758805.07,2597432476.09,3479.48,direct,,ETH
2025-07-18,3676.78,3462.02,3479.48,867005.63,3107895984.56,3549.56,direct,,ETH
2025-07-19,3610.57,3510.16,3549.56,274622.3,978223077.89,3594.34,direct,,ETH
2025-07-20,3825.1,3581.09,3594.34,484664.07,1803996590.01,3758.64,direct,,ETH
2025-07-21,3859.77,3703.91,3758.64,591211.08,2235864180.81,3764.26,direct,,ETH
2025-07-22,3800.87,3618.98,3764.26,634426.21,2350611646.53,3748.64,direct,,ETH
2025-07-23,3766.35,3528.71,3748.64,616049.85,2237459018.02,3630.21,direct,,ETH
2025-07-24,3775.3,3510.45,3630.21,631094.36,2321023591.06,3708.76,direct,,ETH
2025-07-25,3750.35,3575.42,3708.76,646581.07,2367987074.41,3726.01,direct,,ETH
2025-07-26,3794.86,3700.41,3726.01,209891.67,785620815.9,3742.79,direct,,ETH
2025-07-27,3880.83,3732.24,3742.79,257113.7,981387021.29,3874.12,direct,,ETH
2025-07-28,3941.6,3754.34,3874.12,515141.86,1977987690.88,3798.95,direct,,ETH
2025-07-29,3885.97,3716.15,3798.95,474932.26,1799411630.81,3793.46,direct,,ETH
2025-07-30,3833.7,3677.33,3793.46,417457.06,1576605891.64,3810.29,direct,,ETH
2025-07-31,3878.33,3684.07,3810.29,372609.46,1411476606.14,3698.19,direct,,ETH
2025-08-01,3723.77,3430.49,3698.19,667469.59,2402758445.59,3487.02,direct,,ETH
2025-08-02,3536.9,3368.07,3487.02,433396.07,1497485032.53,3393.4,direct,,ETH
2025-08-03,3522.08,3356.18,3393.4,243192.4,842128496.52,3497.6,direct,,ETH
2025-08-04,3737.28,3492.02,3497.6,410236.5,1488663337.16,3720.93,direct,,ETH
2025-08-05,3721.28,3546.78,3720.93,436210.42,1576976876.62,3611.81,direct,,ETH
2025-08-06,3699.86,3564.36,3611.81,364626.39,1324367589.64,3684.11,direct,,ETH
2025-08-07,3717.77,3651.65,3684.11,37299.67,137305632.94,3660.18,direct,,ETH
2025-07-08,0.592,0.5723,0.5805,46458193.71,27097258.23,0.5885,direct,,ADA
2025-07-09,0.6276,0.5842,0.5885,109164398.08,66118750.42,0.6229,direct,,ADA
2025-07-10,0.6802,0.6177,0.6229,89129743.75,57580751.36,0.6775,direct,,ADA
2025-07-11,0.7769,0.6682,0.6775,239906203.31,174639262.32,0.7094,direct,,ADA
2025-07-12,0.737,0.6885,0.7094,85228056.88,60891819.75,0.7091,direct,,ADA
2025-07-13,0.7563,0.7053,0.7091,104916047.26,77279126.5,0.737,direct,,ADA
2025-07-14,0.7683,0.7214,0.737,129682772.2,97289375.72,0.7354,direct,,ADA
2025-07-15,0.7542,0.7107,0.7354,110097118.28,80265738.63,0.7469,direct,,ADA
2025-07-16,0.7849,0.7331,0.7469,98310578.5,74581987.3,0.7648,direct,,ADA
2025-07-17,0.8391,0.7404,0.7648,163732534.77,130714661.02,0.8224,direct,,ADA
2025-07-18,0.8959,0.7964,0.8224,191393288.38,161876641.9,0.8165,direct,,ADA
2025-07-19,0.8378,0.8026,0.8165,53247698.05,43913702.8,0.8303,direct,,ADA
2025-07-20,0.8787,0.8238,0.8303,104691357.36,89497648.39,0.8585,direct,,ADA
2025-07-21,0.9342,0.8418,0.8585,168466520.36,150868291.53,0.8897,direct,,ADA
2025-07-22,0.91,0.853,0.8897,113037273.43,99603301.41,0.9039,direct,,ADA
2025-07-23,0.9042,0.7861,0.9039,122976049.19,102374360.24,0.8164,direct,,ADA
2025-07-24,0.8389,0.7623,0.8164,144567541.8,116952534.81,0.8061,direct,,ADA
2025-07-25,0.8184,0.775,0.8061,95707569.13,76373315.84,0.816,direct,,ADA
2025-07-26,0.8388,0.8123,0.816,42086546.19,34749591.39,0.82,direct,,ADA
2025-07-27,0.8395,0.8147,0.82,45256146.36,37433935.12,0.8323,direct,,ADA
2025-07-28,0.8559,0.7858,0.8323,80851103.45,66232412.4,0.7931,direct,,ADA
2025-07-29,0.8098,0.7691,0.7931,63104857.41,49680113.44,0.7828,direct,,ADA
2025-07-30,0.7895,0.7307,0.7828,66068052.9,50412007.9,0.7633,direct,,ADA
2025-07-31,0.7893,0.736,0.7633,50219170.12,38429485.33,0.739,direct,,ADA
2025-08-01,0.7409,0.6961,0.739,126316694.54,91573575.85,0.7143,direct,,ADA
2025-08-02,0.7273,0.6843,0.7143,54673694.52,38414395.25,0.6973,direct,,ADA
2025-08-03,0.7309,0.687,0.6973,45553935.71,32664947.37,0.7271,direct,,ADA
2025-08-04,0.7591,0.7252,0.7271,56445819.83,41983026.4,0.7547,direct,,ADA
2025-08-05,0.7598,0.713,0.7547,56691742.31,41540765.82,0.7257,direct,,ADA
2025-08-06,0.7481,0.7107,0.7257,46296892.36,33688781.56,0.7415,direct,,ADA
2025-08-07,0.746,0.7358,0.7415,3224035.6,2387868.77,0.7364,direct,,ADA
2025-07-08,2.322,2.249,2.271,118156655.54,270523244.97,2.311,direct,,XRP
2025-07-09,2.429,2.298,2.311,173823267.84,413187045.35,2.405,direct,,XRP
2025-07-10,2.569,2.395,2.405,210110556.21,520894303.24,2.547,direct,,XRP
2025-07-11,2.976,2.512,2.547,533484018.35,1464564352.48,2.733,direct,,XRP
2025-07-12,2.848,2.664,2.733,213608504.91,589284830.81,2.74,direct,,XRP
2025-07-13,2.895,2.725,2.74,194683879.55,548745091.72,2.837,direct,,XRP
2025-07-14,3.035,2.823,2.837,390664795.55,1152613209.6,2.959,direct,,XRP
2025-07-15,2.959,2.805,2.959,233544176.05,674079365.67,2.92,direct,,XRP
2025-07-16,3.102,2.878,2.92,259121118.79,777789712.29,3.039,direct,,XRP
2025-07-17,3.552,2.989,3.039,578132097.12,1906881571.27,3.484,direct,,XRP
2025-07-18,3.665,3.346,3.484,538988491.82,1886829017.68,3.416,direct,,XRP
2025-07-19,3.487,3.356,3.416,162545475.94,557138226.92,3.427,direct,,XRP
2025-07-20,3.559,3.388,3.427,207091727.08,721979937.58,3.456,direct,,XRP
2025-07-21,3.652,3.41,3.456,269445529.42,958837298.22,3.552,direct,,XRP
2025-07-22,3.581,3.424,3.552,244453386.17,858844068.62,3.552,direct,,XRP
2025-07-23,3.554,3.05,3.552,395965778.35,1296447247.79,3.186,direct,,XRP
2025-07-24,3.268,2.96,3.186,341020039.86,1075190410.89,3.147,direct,,XRP
2025-07-25,3.163,3.001,3.147,260492308.11,803405571.33,3.143,direct,,XRP
2025-07-26,3.219,3.109,3.143,97853649.93,310514917.15,3.167,direct,,XRP
2025-07-27,3.252,3.158,3.167,104202017.15,334125633.39,3.24,direct,,XRP
2025-07-28,3.332,3.108,3.24,206553386.21,662457406.82,3.123,direct,,XRP
2025-07-29,3.186,3.054,3.123,173048734.41,540607965.71,3.128,direct,,XRP
2025-07-30,3.162,3.001,3.128,182415067.07,564073840.4,3.096,direct,,XRP
2025-07-31,3.177,3.012,3.096,140588778.53,435429735.16,3.023,direct,,XRP
2025-08-01,3.058,2.893,3.023,266075500.3,792364519.18,2.96,direct,,XRP
2025-08-02,3.019,2.74,2.96,203629824.0,580205925.2,2.769,direct,,XRP
2025-08-03,2.962,2.728,2.769,131213887.96,376275590.6,2.949,direct,,XRP
2025-08-04,3.091,2.932,2.949,153509538.64,465014449.06,3.072,direct,,XRP
2025-08-05,3.106,2.916,3.072,145580409.53,437026835.39,2.962,direct,,XRP
2025-08-06,3.019,2.902,2.962,113893643.04,337690365.66,2.991,direct,,XRP
2025-08-07,3.011,2.974,2.991,10623369.16,31743750.72,2.976,direct,,XRP
2025-07-08,152.87,147.86,148.91,905828.62,136427428.99,151.73,direct,,SOL
2025-07-09,157.97,150.62,151.73,1679964.13,259666672.36,157.11,direct,,SOL
2025-07-10,165.38,155.75,157.11,1549048.19,247646914.87,164.34,direct,,SOL
2025-07-11,168.21,159.65,164.34,1913217.74,314326276.37,162.98,direct,,SOL
2025-07-12,163.98,157.81,162.98,828687.16,133459776.12,160.76,direct,,SOL
2025-07-13,164.22,159.73,160.76,855673.45,138616610.04,161.22,direct,,SOL
2025-07-14,168.66,160.71,161.22,1741667.06,288370746.54,162.26,direct,,SOL
2025-07-15,164.24,157.22,162.26,1411804.63,226893508.78,164.03,direct,,SOL
2025-07-16,176.08,161.56,164.03,2645609.47,448832181.75,173.73,direct,,SOL
2025-07-17,178.23,168.82,173.73,2123299.68,370359016.35,176.0,direct,,SOL
