time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol,return,volatility,momentum,tssi,sentiment_disagreement,article_volume,sentiment_momentum,msi
2025-07-08,0.592,0.5723,0.5805,46458193.71,27097258.23,0.5885,direct,,ADA,,,,,,0.0,,
2025-07-09,0.6276,0.5842,0.5885,109164398.08,66118750.42,0.6229,direct,,ADA,0.05845369583687332,,,,,0.0,,
2025-07-10,0.6802,0.6177,0.6229,89129743.75,57580751.36,0.6775,direct,,ADA,0.08765451918445977,,,,,0.0,,
2025-07-11,0.7769,0.6682,0.6775,239906203.31,174639262.32,0.7094,direct,,ADA,0.047084870848708604,,0.20543755310110456,,,0.0,,
2025-07-12,0.737,0.6885,0.7094,85228056.88,60891819.75,0.7091,direct,,ADA,-0.0004228925852834964,,0.13838497351099677,,,0.0,,
2025-07-13,0.7563,0.7053,0.7091,104916047.26,77279126.5,0.737,direct,,ADA,0.03934564941475105,,0.08782287822878221,,,0.0,,
2025-07-14,0.7683,0.7214,0.737,129682772.2,97289375.72,0.7354,direct,,ADA,-0.002170963364993117,,0.03665069072455607,,,0.0,,
2025-07-15,0.7542,0.7107,0.7354,110097118.28,80265738.63,0.7469,direct,,ADA,0.01563774816426422,0.03291102436980289,0.05330700888450157,,,0.0,,
2025-07-16,0.7849,0.7331,0.7469,98310578.5,74581987.3,0.7648,direct,,ADA,0.02396572499665295,0.031374927370706206,0.03772048846675724,,,0.0,,
2025-07-17,0.8391,0.7404,0.7648,163732534.77,130714661.02,0.8224,direct,,ADA,0.07531380753138084,0.027742018307363843,0.11830296437313015,,,0.0,,
2025-07-18,0.8959,0.7964,0.8224,191393288.38,161876641.9,0.8165,direct,,ADA,-0.0071741245136186516,0.02919138144617763,0.0931851653501139,,,0.0,,
2025-07-19,0.8378,0.8026,0.8165,53247698.05,43913702.8,0.8303,direct,,ADA,0.016901408450704203,0.027809477443804107,0.08564330543933063,,,0.0,,
2025-07-20,0.8787,0.8238,0.8303,104691357.36,89497648.39,0.8585,direct,,ADA,0.03396362760448035,0.02735673239972701,0.043895914396887115,,,0.0,,
2025-07-21,0.9342,0.8418,0.8585,168466520.36,150868291.53,0.8897,direct,,ADA,0.036342457775189185,0.02540701657982519,0.08965094917330063,,,0.0,,
2025-07-22,0.91,0.853,0.8897,113037273.43,99603301.41,0.9039,direct,,ADA,0.015960436102056885,0.025381445481632292,0.08864265927977844,,,0.0,,
2025-07-23,0.9042,0.7861,0.9039,122976049.19,102374360.24,0.8164,direct,,ADA,-0.09680274366633479,0.053721671150800544,-0.0490390215492138,,,0.0,,
2025-07-24,0.8389,0.7623,0.8164,144567541.8,116952534.81,0.8061,direct,,ADA,-0.012616364527192503,0.04577182333710586,-0.09396425761492644,,,0.0,,
2025-07-25,0.8184,0.775,0.8061,95707569.13,76373315.84,0.816,direct,,ADA,0.01228135467063618,0.04598962954645877,-0.0972452704945238,,,0.0,,
2025-07-26,0.8388,0.8123,0.816,42086546.19,34749591.39,0.82,direct,,ADA,0.004901960784313708,0.045513280426090964,0.004409603135717699,,,0.0,,
2025-07-27,0.8395,0.8147,0.82,45256146.36,37433935.12,0.8323,direct,,ADA,0.015000000000000124,0.04362053687071786,0.03250217094653274,,,0.0,,
2025-07-28,0.8559,0.7858,0.8323,80851103.45,66232412.4,0.7931,direct,,ADA,-0.047098402018502905,0.04227875929579754,-0.02806372549019598,,,0.0,,
2025-07-29,0.8098,0.7691,0.7931,63104857.41,49680113.44,0.7828,direct,,ADA,-0.012987012987012991,0.04004758266525653,-0.045365853658536515,,,0.0,,
2025-07-30,0.7895,0.7307,0.7828,66068052.9,50412007.9,0.7633,direct,,ADA,-0.02491057741440994,0.022192065975049646,-0.08290279947134449,,,0.0,,
2025-07-31,0.7893,0.736,0.7633,50219170.12,38429485.33,0.739,direct,,ADA,-0.03183545132975241,0.023794959586966504,-0.06821334005800028,,,0.0,,
2025-08-01,0.7409,0.6961,0.739,126316694.54,91573575.85,0.7143,direct,,ADA,-0.033423545331529025,0.02220998803671088,-0.08750638732754212,,,0.0,,
2025-08-02,0.7273,0.6843,0.7143,54673694.52,38414395.25,0.6973,direct,,ADA,-0.02379952400951979,0.0196445803729917,-0.08646665793266073,,,0.0,,
2025-08-03,0.7309,0.687,0.6973,45553935.71,32664947.37,0.7271,direct,,ADA,0.04273626846407552,0.029061420120495268,-0.01610284167794318,,,0.0,,
2025-08-04,0.7591,0.7252,0.7271,56445819.83,41983026.4,0.7547,direct,,ADA,0.03795901526612577,0.0327815956830149,0.05655886882262351,,,0.0,,
2025-08-05,0.7598,0.713,0.7547,56691742.31,41540765.82,0.7257,direct,,ADA,-0.03842586458195307,0.03494519477034238,0.0407285243080453,,,0.0,,
2025-08-06,0.7481,0.7107,0.7257,46296892.36,33688781.56,0.7415,direct,,ADA,0.021772082127601067,0.036114368044344286,0.019804703617109176,,,0.0,,
2025-08-07,0.746,0.7358,0.7415,3224035.6,2387868.77,0.7364,direct,,ADA,-0.006877950101146335,0.03403111940658768,-0.024248045581025557,0.53685,0.17325585665906554,4.0,0.53685,0.733296
2025-07-08,18.48,17.69,18.0,611732.46,11099210.12,18.37,direct,,AVAX,,,,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-09,19.62,18.1,18.37,750411.71,14034802.29,19.51,direct,,AVAX,0.062057702776265655,,,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-10,20.78,19.34,19.51,682092.71,13556363.44,20.7,direct,,AVAX,0.060994361865709834,,,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-11,21.53,20.34,20.7,827103.56,17367478.39,20.68,direct,,AVAX,-0.0009661835748792091,,0.12574850299401197,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-12,21.08,20.19,20.68,575034.94,11898812.46,20.69,direct,,AVAX,0.00048355899419738613,,0.06048180420297289,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-13,21.78,20.68,20.69,775922.71,16528334.95,21.21,direct,,AVAX,0.025132914451425847,,0.024637681159420444,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-14,22.08,21.03,21.21,972970.95,21008151.68,21.27,direct,,AVAX,0.0028288543140027045,,0.02852998065764023,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-15,22.57,20.4,21.27,1133104.65,24075831.25,22.51,direct,,AVAX,0.05829807240244489,0.029947221277400297,0.08796520057999024,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-16,23.03,21.62,22.51,1088141.72,24306911.81,22.68,direct,,AVAX,0.0075521990226565805,0.02712497341311694,0.06930693069306915,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-17,24.33,22.04,22.68,1348301.82,30958727.17,23.92,direct,,AVAX,0.05467372134038806,0.025679026461130516,0.12458862247296665,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-18,25.04,23.09,23.92,1440135.1,34790620.05,23.54,direct,,AVAX,-0.015886287625418216,0.028304988651543832,0.045757441137272314,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-19,25.24,23.02,23.54,916373.18,22200280.46,24.51,direct,,AVAX,0.04120645709430759,0.028045880777885796,0.0806878306878307,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-20,25.56,24.32,24.51,964675.85,24122423.3,25.06,direct,,AVAX,0.022439820481436,0.028059491958516307,0.04765886287625398,0.53685,0.17325585665906554,0.0,0.53685,0.733296
